GW-1S	1.1	3	21	10	20	80.6	5102.2	690
GW150-3MW	3	2.5	18	9	20	150	17671	760
GW136-4.2MW	4.2	2.5	25	11.2	20	136	14526	740
GW155-4.5MW	4.5	2.5	26	10.8	20	155	18869	740
GW165-3.6MW	3.6	2.5	22	9.5	20	165	21124	950
GW165-6MW	6	3	24	11.4	20	165	21382	950
GW175-8MW	8	3	25	12	25	175	23916	720
MY1500-70	1.5	3.5	25	12	20	70	3848.5	690
MY2000-118	2	3	25	9.5	20	118	10935.9	690
MySE5.0-166	5	2.5	25	10.5	20	166	21447	690
